sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_UMJ1_047;2;-8094.545;-8117.969;-8058.869;-8057.957;-8093.119;-8090.461;3;25.890;Strong
n_UMJ1_047;3;-8058.509;-8063.347;-8071.856;-8150.57;-8080.668;-8064.571;3;25.890;Strong
n_UMJ1_047;4;-8076.721;-8283.099;-8193.125;-8073.986;-999999.99;-8184.315;3;25.890;Strong
n_UMJ3_048;3;-8082.273;-8092.776;-8233.865;-8075.029;-8106.395;-8136.305;3;50.723;Strong
n_UMJ3_048;4;-8306.583;-8166.862;-8087.639;-8109.452;-8218.966;-8187.028;3;50.723;Strong
n_UMJ4_049;2;-8195.686;-8168.001;-8190.585;-8175.544;-8180.769;-8184.757;2;36.381;Strong
n_UMJ4_049;3;-8264.165;-8436.289;-8170.518;-8518.345;-8383.741;-8290.324;2;36.381;Strong
n_UMJ4_049;4;-8271.372;-8193.045;-8198.998;-8205.014;-8278.654;-8221.138;2;36.381;Strong
n_VBS_153;2;-8105.215;-8176.73;-8106.278;-8129.357;-8185.248;-8129.408;2;12.096;Positive
n_VBS_153;4;-8141.504;Error:Couldnotfindfile"output/stepping_stone_n_VBS_153_4.out";-999999.99;-8162.117;-999999.99;-8141.504;2;12.096;Positive
n_VBS2_005;2;-8201.876;-8317.343;-8074.7;-8131.986;-999999.99;-8197.973;4;127.667;Strong
n_VBS2_005;4;-8070.306;-999999.99;-999999.99;-8099.119;-8089.451;-8070.306;4;127.667;Strong
n_VBS8_006;2;-8142.668;-8095.315;-8084.239;-8077.746;-8110.021;-8107.407;3;4.966;Positive
n_VBS8_006;3;-8089.193;-8113.044;-8105.087;-8149.353;-8077.577;-8102.441;3;4.966;Positive
n_VBS8_006;4;-8251.183;-8114.431;-8164.687;-8068.92;-8088.14;-8176.767;3;4.966;Positive
n_VJJS2_011;3;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_VJJS2_011;4;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
n_VJJS5_125;2;-8106.571;-8021.449;-8020.804;-8156.966;-8204.183;-8049.608;4;13.698;Positive
n_VJJS5_125;3;-8062.418;-8113.526;-8232.514;Error:Couldnotfindfile"output/stepping_stone_n_VJJS5_125_3.out";-999999.99;-8136.153;4;13.698;Positive
n_VJJS5_125;4;-8027.938;-999999.99;-8043.883;-8022.894;-8092.106;-8035.910;4;13.698;Positive
n_VJZS2_079;2;-8126.97;-8221.145;-999999.99;-999999.99;-999999.99;-8174.058;2;NA;Cannot_compare
n_VJZS5_148;3;-8107.851;-8115.599;-8204.977;-8136.414;-8189.538;-8142.809;4;71.160;Strong
n_VJZS5_148;4;-8069.506;-8051.325;-8094.117;-8050.548;-8122.755;-8071.649;4;71.160;Strong
n_VJZS8_080;2;-8034.87;-8183.857;-8045.025;-8083.522;-8207.683;-8087.917;4;11.170;Positive
n_VJZS8_080;3;-8082.169;-8028.121;-8217.626;-8061.184;-8046.681;-8109.305;4;11.170;Positive
n_VJZS8_080;4;-8146.625;-8027.843;-8055.775;-8034.432;-8177.282;-8076.748;4;11.170;Positive
n_ZSS2_093;2;-8019.314;-8184.197;-8041.272;-8241.05;-8025.508;-8081.594;2;28.833;Strong
n_ZSS2_093;3;-8183.694;-8037.16;-999999.99;-999999.99;-999999.99;-8110.427;2;28.833;Strong
n_ZSS5_157;2;-8049.39;-999999.99;-8066.575;-8178.493;-8053.548;-8057.983;2;11.007;Positive
n_ZSS5_157;3;-8068.99;-999999.99;-999999.99;-999999.99;-999999.99;-8068.990;2;11.007;Positive
n_ZSS8_094;3;-8160.393;-8074.359;-8219.438;-8134.19;-8059.263;-8151.397;4;9.812;Positive
n_ZSS8_094;4;-8156.95;-8204.43;-8063.374;-8179.944;-8094.162;-8141.585;4;9.812;Positive
var_BOB2_057;1;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
var_BOB2_057;2;-999999.99;-999999.99;-999999.99;-999999.99;-999999.99;NA;NA;NA;Failed
var_HGNA2_036;1;-8113.186;-8089.657;-8037.312;-8042.697;-8074.125;-8080.052;1;37.215;Strong
var_HGNA2_036;2;-8259.232;-8055.155;-8037.414;-8320.455;-999999.99;-8117.267;1;37.215;Strong
var_OLS18_015;2;0;-999999.99;-8038.387;-8163.276;-8214.591;-4019.193;2;NA;Cannot_compare
var_OLS20_127;1;-8178.936;-8093.992;-8215.046;-999999.99;-999999.99;-8162.658;1;NA;Cannot_compare
var_PPJ1_056;2;-8170.19;-8087.462;-8173.398;-8077.902;-8089.58;-8143.683;2;NA;Cannot_compare
var_STR13_120;1;-8106.244;-8118.397;-8155.714;-8127.82;-8077.894;-8126.785;1;70.177;Strong
var_STR13_120;2;-8243.467;-8165.181;-8182.237;-8120.522;-8086.267;-8196.962;1;70.177;Strong
var_VLS8_017;1;-8065.1;-8265.39;-8061.623;-8114.767;-8067.707;-8130.704;1;9.416;Positive
var_VLS8_017;2;-8156.532;-8165.908;-8097.92;-8164.796;-8085.978;-8140.120;1;9.416;Positive
